Date,Close
2020-01-24,782.95
2020-01-23,784.55
2020-01-22,769.95
2020-01-21,761.9
2020-01-20,768.35
2020-01-17,767.85
2020-01-16,766.85
2020-01-15,767.7
2020-01-14,775.35
2020-01-13,773.4
2020-01-10,738.25
2020-01-09,727.55
2020-01-08,718.15
2020-01-07,727.75
2020-01-06,738.65
2020-01-03,746.1
2020-01-02,734.7
2020-01-01,736.9
2019-12-31,731.75
2019-12-30,732.8
2019-12-27,736.8
2019-12-26,729.25
2019-12-24,733.25
2019-12-23,735.85
2019-12-20,732.0
2019-12-19,731.2
2019-12-18,732.5
2019-12-17,729.3
2019-12-16,714.0
2019-12-13,711.25
2019-12-12,701.85
2019-12-11,720.8
2019-12-10,714.25
2019-12-09,716.9
2019-12-06,715.15
2019-12-05,714.65
2019-12-04,708.2
2019-12-03,698.35
2019-12-02,692.9
2019-11-29,695.95
2019-11-28,701.65
2019-11-27,696.05
2019-11-26,690.7
2019-11-25,698.0
2019-11-22,693.15
2019-11-21,713.75
2019-11-20,712.8
2019-11-19,712.8
2019-11-18,705.55
2019-11-15,703.95
2019-11-14,705.35
2019-11-13,691.25
2019-11-11,704.5
2019-11-08,708.45
2019-11-07,719.95
2019-11-06,712.3
2019-11-05,695.8
2019-11-04,709.0
2019-11-01,688.0
2019-10-31,685.5
2019-10-30,660.45
2019-10-29,650.6
2019-10-27,648.95
2019-10-25,637.55
2019-10-24,635.4
2019-10-23,650.75
2019-10-22,643.3
2019-10-18,767.75
2019-10-17,769.1
2019-10-16,771.45
2019-10-15,767.8
2019-10-14,785.65
2019-10-11,815.7
2019-10-10,782.9
2019-10-09,784.0
2019-10-07,789.55
2019-10-04,793.25
2019-10-03,785.5
2019-10-01,793.55
2019-09-30,805.3
2019-09-27,782.35
2019-09-26,782.05
2019-09-25,792.2
2019-09-24,794.05
2019-09-23,765.1
2019-09-20,805.1
2019-09-19,821.0
2019-09-18,829.85
2019-09-17,831.05
2019-09-16,827.45
2019-09-13,829.15
2019-09-12,816.35
2019-09-11,820.1
2019-09-09,829.2
2019-09-06,840.15
2019-09-05,834.2
2019-09-04,821.05
2019-09-03,814.3
2019-08-30,814.6
2019-08-29,806.85
2019-08-28,802.1
2019-08-27,785.0
2019-08-26,802.9
2019-08-23,801.9
2019-08-22,795.9
2019-08-21,799.55
2019-08-20,792.9
2019-08-19,777.8
2019-08-16,774.55
2019-08-14,774.9
2019-08-13,764.1
2019-08-09,790.15
2019-08-08,789.1
2019-08-07,776.15
2019-08-06,774.65
2019-08-05,776.75
2019-08-02,775.4
2019-08-01,769.05
2019-07-31,794.0
2019-07-30,792.8
2019-07-29,791.55
2019-07-26,787.3
2019-07-25,795.05
2019-07-24,786.05
2019-07-23,789.9
2019-07-22,785.15
2019-07-19,785.6
2019-07-18,793.15
2019-07-17,794.3
2019-07-16,784.95
2019-07-15,779.45
2019-07-12,727.1
2019-07-11,720.85
2019-07-10,716.9
2019-07-09,715.4
2019-07-08,717.45
2019-07-05,718.25
2019-07-04,733.9
2019-07-03,731.5
2019-07-02,739.9
2019-07-01,731.15
2019-06-28,731.95
2019-06-27,730.85
2019-06-26,739.65
2019-06-25,748.05
2019-06-24,745.6
2019-06-21,750.7
2019-06-20,754.55
2019-06-19,751.85
2019-06-18,750.65
2019-06-17,740.4
2019-06-14,740.4
2019-06-13,742.7
2019-06-12,753.95
2019-06-11,754.85
2019-06-10,753.6
2019-06-07,739.35
2019-06-06,737.95
2019-06-04,734.7
2019-06-03,744.65
2019-05-31,736.85
2019-05-30,733.3
2019-05-29,727.35
2019-05-28,726.65
2019-05-27,709.1
2019-05-24,709.45
2019-05-23,701.25
2019-05-22,709.2
2019-05-21,709.2
2019-05-20,722.4
2019-05-17,723.8
2019-05-16,734.2
2019-05-15,716.5
2019-05-14,713.85
2019-05-13,720.05
2019-05-10,716.05
2019-05-09,721.05
2019-05-08,718.1
2019-05-07,723.55
2019-05-06,717.85
2019-05-03,723.75
2019-05-02,729.85
2019-04-30,749.95
2019-04-26,737.1
2019-04-25,728.75
2019-04-24,736.4
2019-04-23,727.85
2019-04-22,720.6
2019-04-18,716.4
2019-04-16,723.85
2019-04-15,726.65
2019-04-12,747.85
2019-04-11,743.15
2019-04-10,754.15
2019-04-09,759.85
2019-04-08,767.15
2019-04-05,756.25
2019-04-04,748.25
2019-04-03,754.05
2019-04-02,757.1
2019-04-01,755.65
2019-03-29,742.3
2019-03-28,738.5
2019-03-27,729.05
2019-03-26,726.75
2019-03-25,735.8
2019-03-22,742.15
2019-03-20,738.5
2019-03-19,721.5
2019-03-18,709.75
2019-03-15,718.85
2019-03-14,708.35
2019-03-13,709.15
2019-03-12,706.9
2019-03-11,711.65
2019-03-08,712.55
2019-03-07,723.25
2019-03-06,732.2
2019-03-05,732.6
2019-03-01,741.15
2019-02-28,733.95
2019-02-27,734.7
2019-02-26,741.7
2019-02-25,754.9
2019-02-22,733.35
2019-02-21,733.35
2019-02-20,740.05
2019-02-19,725.15
2019-02-18,740.1
2019-02-15,741.75
2019-02-14,739.8
2019-02-13,754.95
2019-02-12,750.4
2019-02-11,761.6
2019-02-08,759.85
2019-02-07,763.35
2019-02-06,762.65
2019-02-05,754.25
2019-02-04,755.65
2019-02-01,756.55
2019-01-31,749.6
2019-01-30,724.85
2019-01-29,727.35
2019-01-28,728.2
2019-01-25,730.2
2019-01-24,732.8
2019-01-23,731.45
2019-01-22,744.35
2019-01-21,742.75
2019-01-18,731.0
2019-01-17,733.4
2019-01-16,736.55
2019-01-15,726.55
2019-01-14,700.9
2019-01-11,683.7
2019-01-10,679.75
2019-01-09,675.85
2019-01-08,669.85
2019-01-07,671.15
2019-01-04,660.75
2019-01-03,667.55
2019-01-02,669.3
2019-01-01,664.65
